Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate
256,14,9,112.744620,1.767041
256,14,10,28.059466,1.591298
256,14,11,6.999148,1.447350
256,14,12,1.749033,1.327285
256,14,13,0.437931,1.225613
256,14,14,0.109459,1.138410
256,15,8,503.684125,1.985458
256,15,9,112.744620,1.766279
256,15,10,28.059466,1.590680
256,15,11,6.999148,1.446839
256,15,12,1.749033,1.326855
256,15,13,0.437931,1.225247
256,15,14,0.109459,1.138094
256,15,15,0.027374,1.062516
256,16,8,503.684125,1.984496
256,16,9,112.744620,1.765517
256,16,10,28.059466,1.590062
256,16,11,6.999148,1.446328
256,16,12,1.749033,1.326425
256,16,13,0.437931,1.224880
256,16,14,0.109459,1.137778
256,16,15,0.027374,1.062241
256,16,16,0.006844,0.996109
300,8,8,507.517220,1.993355
300,9,8,507.517220,1.992528
300,9,9,113.550301,1.771872
300,10,8,507.517220,1.991701
300,10,9,113.550301,1.771218
300,10,10,28.259350,1.594684
300,11,8,507.517220,1.990875
300,11,9,113.550301,1.770564
300,11,10,28.259350,1.594155
300,11,11,7.046715,1.449713
300,12,8,507.517220,1.990050
300,12,9,113.550301,1.769912
300,12,10,28.259350,1.593625
300,12,11,7.046715,1.449275
300,12,12,1.761117,1.328904
300,13,8,507.517220,1.989225
300,13,9,113.550301,1.769259
300,13,10,28.259350,1.593097
300,13,11,7.046715,1.448838
300,13,12,1.761117,1.328536
300,13,13,0.440923,1.226680
300,14,8,507.517220,1.988401
300,14,9,113.550301,1.768607
300,14,10,28.259350,1.592568
300,14,11,7.046715,1.448401
300,14,12,1.761117,1.328168
300,14,13,0.440923,1.226367
300,14,14,0.110206,1.139060
300,15,8,507.517220,1.987578
300,15,9,113.550301,1.767956
300,15,10,28.259350,1.592040
300,15,11,7.046715,1.447964
300,15,12,1.761117,1.327801
300,15,13,0.440923,1.226054
300,15,14,0.110206,1.138790
300,15,15,0.027562,1.063123
300,16,8,507.517220,1.986755
300,16,9,113.550301,1.767305
300,16,10,28.259350,1.591512
300,16,11,7.046715,1.447527
300,16,12,1.761117,1.327434
300,16,13,0.440923,1.225741
300,16,14,0.110206,1.138520
300,16,15,0.027562,1.062888
300,16,16,0.006891,0.996678
