Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
128,13,11,"6,853376","1,441239","0,2102962102"
160,16,11,"6,889329","1,441441","0,2092280685"
150,15,11,"6,873567","1,441441","0,2097078562"
120,12,11,"6,843292","1,441441","0,2106356122"
160,15,11,"6,889329","1,442254","0,2093460771"
128,12,11,"6,853376","1,442254","0,2104443124"
150,14,11,"6,873567","1,442308","0,2098339916"
120,11,11,"6,843292","1,442524","0,2107938694"
160,14,11,"6,889329","1,443067","0,2094640857"
150,13,11,"6,873567","1,443175","0,209960127"
128,11,11,"6,853376","1,44327","0,2105925605"
192,16,11,"6,928662","1,443609","0,2083532145"
160,13,11,"6,889329","1,44388","0,2095820943"
200,16,11,"6,933807","1,444043","0,2082612048"
150,12,11,"6,873567","1,444043","0,2100864078"
192,15,11,"6,928662","1,444288","0,2084512132"
200,15,11,"6,933807","1,444695","0,2083552369"
160,12,11,"6,889329","1,444695","0,2097003932"
150,11,11,"6,873567","1,444913","0,2102129797"
192,14,11,"6,928662","1,444967","0,208549212"
200,14,11,"6,933807","1,445348","0,2084494131"
160,11,11,"6,889329","1,445511","0,2098188372"
192,13,11,"6,928662","1,445647","0,208647355"
240,16,11,"6,978256","1,445783","0,2071840013"
200,13,11,"6,933807","1,446001","0,2085435894"
256,16,11,"6,999148","1,446328","0,2066434372"
240,15,11,"6,978256","1,446328","0,207262101"
192,12,11,"6,928662","1,446328","0,2087456424"
200,12,11,"6,933807","1,446655","0,2086379099"
256,15,11,"6,999148","1,446839","0,2067164461"
240,14,11,"6,978256","1,446873","0,2073402008"
192,11,11,"6,928662","1,447009","0,2088439298"
200,11,11,"6,933807","1,447309","0,2087322304"
256,14,11,"6,999148","1,44735","0,2067894549"
240,13,11,"6,978256","1,447418","0,2074183005"
300,16,11,"7,046715","1,447527","0,2054186951"
256,13,11,"6,999148","1,447861","0,2068624638"
320,16,11,"7,071775","1,447964","0,2047525551"
300,15,11,"7,046715","1,447964","0,2054807098"
240,12,11,"6,978256","1,447964","0,2074965435"
320,15,11,"7,071775","1,448373","0,2048103906"
256,12,11,"6,999148","1,448373","0,2069356156"
300,14,11,"7,046715","1,448401","0,2055427245"
240,11,11,"6,978256","1,44851","0,2075747866"
320,14,11,"7,071775","1,448783","0,2048683676"
300,13,11,"7,046715","1,448838","0,2056047392"
256,11,11,"6,999148","1,448886","0,2070089102"
384,16,11,"7,152897","1,449057","0,2025832331"
320,13,11,"7,071775","1,449193","0,2049263445"
400,16,11,"7,171697","1,449275","0,2020825754"
300,12,11,"7,046715","1,449275","0,2056667539"
384,15,11,"7,152897","1,449398","0,2026309061"
400,15,11,"7,171697","1,449604","0,2021284502"
320,12,11,"7,071775","1,449604","0,2049844629"
300,11,11,"7,046715","1,449713","0,2057289106"
384,14,11,"7,152897","1,44974","0,2026787188"
400,14,11,"7,171697","1,449932","0,2021741856"
320,11,11,"7,071775","1,450014","0,2050424398"
384,13,11,"7,152897","1,450083","0,2027266714"
480,16,11,"7,248981","1,450151","0,2000489448"
400,13,11,"7,171697","1,450261","0,2022200603"
512,16,11,"7,294067","1,450425","0,1988499694"
480,15,11,"7,248981","1,450425","0,2000867432"
384,12,11,"7,152897","1,450425","0,2027744842"
400,12,11,"7,171697","1,450589","0,2022657957"
512,15,11,"7,294067","1,450682","0,1988852035"
480,14,11,"7,248981","1,450699","0,2001245416"
384,11,11,"7,152897","1,450767","0,202822297"
400,11,11,"7,171697","1,450918","0,2023116704"
512,14,11,"7,294067","1,450939","0,1989204377"
480,13,11,"7,248981","1,450973","0,2001623401"
600,16,11,"7,386973","1,451028","0,1964306625"
512,13,11,"7,294067","1,451196","0,1989556718"
640,16,11,"7,443271","1,451247","0,1949743601"
600,15,11,"7,386973","1,451247","0,1964603092"
480,12,11,"7,248981","1,451247","0,2002001385"
640,15,11,"7,443271","1,451453","0,1950020361"
512,12,11,"7,294067","1,451453","0,1989909059"
600,14,11,"7,386973","1,451467","0,1964900914"
480,11,11,"7,248981","1,451521","0,2002379369"
640,14,11,"7,443271","1,451659","0,1950297121"
600,13,11,"7,386973","1,451686","0,1965197382"
512,11,11,"7,294067","1,45171","0,19902614"
768,16,11,"7,590105","1,451796","0,1912748243"
640,13,11,"7,443271","1,451864","0,1950572537"
800,16,11,"7,638175","1,451906","0,1900854589"
600,12,11,"7,386973","1,451906","0,1965495204"
768,15,11,"7,590105","1,451967","0,1912973536"
800,15,11,"7,638175","1,45207","0,19010693"
